z(m^3),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
0.00000000e+00,9.00000000e+02,1.01325000e+05,2.30611025e-01,2.30611025e-08,1.00000000e-07,-2.58615077e+06,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.27743856e+66,
5.00000000e-08,9.00000000e+02,1.01325000e+05,2.25265613e-01,2.15285882e-08,9.55697939e-08,-2.44344698e+06,-2.30611025e-07,-2.30611025e-07,2.86734362e-15,2.86734361e-15,
1.50000000e-07,9.00000000e+02,1.01325000e+05,2.21524540e-01,2.15711572e-08,9.73759260e-08,-2.33947680e+06,-2.30611025e-07,-2.30611025e-07,9.46766302e-16,9.46766312e-16,
2.50000000e-07,9.00000000e+02,1.01325000e+05,2.18563886e-01,2.16070288e-08,9.88590990e-08,-2.25467273e+06,-2.30611025e-07,-2.30611025e-07,4.65779618e-16,4.65779606e-16,
3.50000000e-07,9.00000000e+02,1.01325000e+05,2.16079933e-01,2.16372417e-08,1.00135359e-07,-2.18173039e+06,-2.30611025e-07,-2.30611025e-07,1.27485376e-15,1.27485375e-15,
4.50000000e-07,9.00000000e+02,1.01325000e+05,2.13921769e-01,2.16630254e-08,1.01266110e-07,-2.11697970e+06,-2.30611025e-07,-2.30611025e-07,5.67656625e-16,5.67656626e-16,
5.50000000e-07,9.00000000e+02,1.01325000e+05,2.12002379e-01,2.16853748e-08,1.02288356e-07,-2.05828529e+06,-2.30611025e-07,-2.30611025e-07,4.69339443e-16,4.69339447e-16,
6.50000000e-07,9.00000000e+02,1.01325000e+05,2.10266684e-01,2.17050334e-08,1.03226213e-07,-2.00428558e+06,-2.30611025e-07,-2.30611025e-07,7.87909890e-17,7.87909783e-17,
7.50000000e-07,9.00000000e+02,1.01325000e+05,2.08677447e-01,2.17225491e-08,1.04096295e-07,-1.95405456e+06,-2.30611025e-07,-2.30611025e-07,3.11782327e-16,3.11782319e-16,
8.50000000e-07,9.00000000e+02,1.01325000e+05,2.07208221e-01,2.17383289e-08,1.04910552e-07,-1.90693129e+06,-2.30611025e-07,-2.30611025e-07,-3.73189757e-17,-3.73189746e-17,
9.50000000e-07,9.00000000e+02,1.01325000e+05,2.05839485e-01,2.17526794e-08,1.05677875e-07,-1.86242583e+06,-2.30611025e-07,-2.30611025e-07,-5.27750811e-17,-5.27750760e-17,
